index,level,title,href,full_url,doc_path,anchor,parent_title,root_title,path,is_leaf
28,4,历史行情数据-新浪,stock/stock.html#id25,https://akshare.akfamily.xyz/data/stock/stock.html#id25,stock/stock.html,id25,历史行情数据,AKShare 股票数据,AKShare 股票数据 / A股 / 历史行情数据 / 历史行情数据-新浪,1
29,4,历史行情数据-腾讯,stock/stock.html#id26,https://akshare.akfamily.xyz/data/stock/stock.html#id26,stock/stock.html,id26,历史行情数据,AKShare 股票数据,AKShare 股票数据 / A股 / 历史行情数据 / 历史行情数据-腾讯,1
30,4,分时数据-新浪,stock/stock.html#id27,https://akshare.akfamily.xyz/data/stock/stock.html#id27,stock/stock.html,id27,历史行情数据,AKShare 股票数据,AKShare 股票数据 / A股 / 历史行情数据 / 分时数据-新浪,1
31,4,分时数据-东财,stock/stock.html#id28,https://akshare.akfamily.xyz/data/stock/stock.html#id28,stock/stock.html,id28,历史行情数据,AKShare 股票数据,AKShare 股票数据 / A股 / 历史行情数据 / 分时数据-东财,1
32,4,日内分时数据-东财,stock/stock.html#id29,https://akshare.akfamily.xyz/data/stock/stock.html#id29,stock/stock.html,id29,历史行情数据,AKShare 股票数据,AKShare 股票数据 / A股 / 历史行情数据 / 日内分时数据-东财,1
33,4,日内分时数据-新浪,stock/stock.html#id30,https://akshare.akfamily.xyz/data/stock/stock.html#id30,stock/stock.html,id30,历史行情数据,AKShare 股票数据,AKShare 股票数据 / A股 / 历史行情数据 / 日内分时数据-新浪,1
34,4,盘前数据,stock/stock.html#id31,https://akshare.akfamily.xyz/data/stock/stock.html#id31,stock/stock.html,id31,历史行情数据,AKShare 股票数据,AKShare 股票数据 / A股 / 历史行情数据 / 盘前数据,1
35,3,历史分笔数据,stock/stock.html#id32,https://akshare.akfamily.xyz/data/stock/stock.html#id32,stock/stock.html,id32,A股,AKShare 股票数据,AKShare 股票数据 / A股 / 历史分笔数据,0
36,4,腾讯财经,stock/stock.html#id33,https://akshare.akfamily.xyz/data/stock/stock.html#id33,stock/stock.html,id33,历史分笔数据,AKShare 股票数据,AKShare 股票数据 / A股 / 历史分笔数据 / 腾讯财经,1
37,3,同行比较,stock/stock.html#id34,https://akshare.akfamily.xyz/data/stock/stock.html#id34,stock/stock.html,id34,A股,AKShare 股票数据,AKShare 股票数据 / A股 / 同行比较,0
38,4,成长性比较,stock/stock.html#id35,https://akshare.akfamily.xyz/data/stock/stock.html#id35,stock/stock.html,id35,同行比较,AKShare 股票数据,AKShare 股票数据 / A股 / 同行比较 / 成长性比较,1
39,4,估值比较,stock/stock.html#id36,https://akshare.akfamily.xyz/data/stock/stock.html#id36,stock/stock.html,id36,同行比较,AKShare 股票数据,AKShare 股票数据 / A股 / 同行比较 / 估值比较,1
40,4,杜邦分析比较,stock/stock.html#id37,https://akshare.akfamily.xyz/data/stock/stock.html#id37,stock/stock.html,id37,同行比较,AKShare 股票数据,AKShare 股票数据 / A股 / 同行比较 / 杜邦分析比较,1
41,4,公司规模,stock/stock.html#id38,https://akshare.akfamily.xyz/data/stock/stock.html#id38,stock/stock.html,id38,同行比较,AKShare 股票数据,AKShare 股票数据 / A股 / 同行比较 / 公司规模,1
42,2,A股-CDR,stock/stock.html#a-cdr,https://akshare.akfamily.xyz/data/stock/stock.html#a-cdr,stock/stock.html,a-cdr,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / A股-CDR,0
43,3,历史行情数据,stock/stock.html#id39,https://akshare.akfamily.xyz/data/stock/stock.html#id39,stock/stock.html,id39,A股-CDR,AKShare 股票数据,AKShare 股票数据 / A股-CDR / 历史行情数据,1
44,2,B股,stock/stock.html#b,https://akshare.akfamily.xyz/data/stock/stock.html#b,stock/stock.html,b,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / B股,0
45,3,实时行情数据,stock/stock.html#id40,https://akshare.akfamily.xyz/data/stock/stock.html#id40,stock/stock.html,id40,B股,AKShare 股票数据,AKShare 股票数据 / B股 / 实时行情数据,0
46,4,实时行情数据-东财,stock/stock.html#id41,https://akshare.akfamily.xyz/data/stock/stock.html#id41,stock/stock.html,id41,实时行情数据,AKShare 股票数据,AKShare 股票数据 / B股 / 实时行情数据 / 实时行情数据-东财,1
47,4,实时行情数据-新浪,stock/stock.html#id42,https://akshare.akfamily.xyz/data/stock/stock.html#id42,stock/stock.html,id42,实时行情数据,AKShare 股票数据,AKShare 股票数据 / B股 / 实时行情数据 / 实时行情数据-新浪,1
48,3,历史行情数据,stock/stock.html#id43,https://akshare.akfamily.xyz/data/stock/stock.html#id43,stock/stock.html,id43,B股,AKShare 股票数据,AKShare 股票数据 / B股 / 历史行情数据,0
49,4,历史行情数据,stock/stock.html#id44,https://akshare.akfamily.xyz/data/stock/stock.html#id44,stock/stock.html,id44,历史行情数据,AKShare 股票数据,AKShare 股票数据 / B股 / 历史行情数据 / 历史行情数据,1
50,4,分时数据,stock/stock.html#id45,https://akshare.akfamily.xyz/data/stock/stock.html#id45,stock/stock.html,id45,历史行情数据,AKShare 股票数据,AKShare 股票数据 / B股 / 历史行情数据 / 分时数据,1
51,2,次新股,stock/stock.html#id46,https://akshare.akfamily.xyz/data/stock/stock.html#id46,stock/stock.html,id46,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 次新股,1
52,2,股市日历,stock/stock.html#id47,https://akshare.akfamily.xyz/data/stock/stock.html#id47,stock/stock.html,id47,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 股市日历,0
